message,category
"I filled form but not showing once...","attendance_issue"
"Maam I got disconnected attendance?!!","attendance_issue"
"Class join kiya tha but absent dikha sir","attendance_issue"
"maam is this session for all branches","question"
"recording button nahi dikh raha please","technical_issue"
"hello from Delhi plz","general"
"dm for certificate editing sir","spam"
"maam can you explain again","question"
"Good to be here from my side","general"
"sir good good evening sir??","general"
"screen is pixelated","technical_issue"
"Sir ppt share in whatsapp? today","question"
"You are wasting our time???","abuse"
"Bhai why are you so slow abhi","abuse"
"Ma'am example with real data plz","question"
"bhai hi all","general"
"pls who hired this speaker","abuse"
"CHEAP FOLLOWERS INSTANT DELIVERY AGAIN","spam"
"Dm for certificate editing!!","spam"
"sir earn while watching videos!!","spam"
"please understood sir sir","general"
"best betting tips join now please???","spam"
"voice cut cut aa rahi yaar","technical_issue"
"present sir but mic issue tha please","attendance_issue"
"This webinar is a joke mam","abuse"
"link attendance ka bhejiye??","attendance_issue"
"admin sleeping kya yaar","abuse"
"yes yes","general"
"useless content again mam","abuse"
"sir prerequisites kya hain??","question"
"LAGGING TOO MUCH TODAY","technical_issue"
"sir webcam nahi chal rha please","technical_issue"
"Excuse me will certificate be provided please","question"
"Pls will we get recording on mail jaldi","question"
"webinar certificate hack dm","spam"
"ma'am deadline extend ho sakti hai? in webinar???","question"
"host is so annoying","abuse"
"Ok noted","general"
"MAAM OK NOTED...","general"
"admin speaker is completely confused","abuse"
"sir screen rotate ho gayi","technical_issue"
"CHAT LOAD NAHI HO RAHA","technical_issue"
"excuse me sir tab share nahi hua","technical_issue"
"Connection reconnecting again please","technical_issue"
"poll option nahi aa raha now","technical_issue"
"typing job genuine payment","spam"
"hello sir app baar baar crash ho rha urgent","technical_issue"
"faltu sesion hai pls","abuse"
"joined late due to net issue attendance milegi? pls","attendance_issue"
"ma'am please consider attendence","attendance_issue"
"thanks team","general"
"Sir this webinar is stupid...","abuse"
"sir recording milegi? na","question"
"Attendence abhi tak nahi lagi","attendance_issue"
"Maam present from beginning sir","attendance_issue"
"best betting tips join now from my side","spam"
"Idiot level level management pls","abuse"
"audio bahut low hai pls","technical_issue"
"followers likes comments sale...","spam"
"join my whatsapp group","spam"
"not able to unmute","technical_issue"
"ma'am deadline extend ho sakti hai?","question"
"promo code use now now today","spam"
"mam click link before it expires","spam"
"NICE EXPLANATION PLEASE","general"
"present sir but mic issue tha??","attendance_issue"
"sir yes screen visible","general"
"sir can we submit late in webinar","question"
"Very helpful session","general"
"excuse me what is difference between between AI and ML pls","question"
"stop pretending you know","abuse"
"hello sir joined late due to net issue attendance milegi?","attendance_issue"
"I filled form but not showing in class","attendance_issue"
"subscribe my channel plzzz","spam"
"link open but blank screen???","technical_issue"
"SIR ATTENDANCE MARK KAR DO","attendance_issue"
"watch my youtube channel in webinar","spam"
"sir quiz link kaha milega","question"
"mam my chat messages not sending","technical_issue"
"buy trading signals now today yaar","spam"
"SIR NICE EXPLANATION","general"
"screen is pixelated pixelated","technical_issue"
"can't hear the speaker now mam","technical_issue"
"yes visible from my side mam","general"
"kya bakwas chal chal raha hai in webinar mam","abuse"
"hello sir such a bad teacher","abuse"
"investment double in 7 days from my side","spam"
"excuse me online job no skills needed","spam"
"present sir but mic issue tha abhi","attendance_issue"
"ma'am example with real data please from my side","question"
"attendance ka OTP nahi mila","attendance_issue"
"looking forward please","general"
"pls thank you sir from my side","general"
"please send hi for earning app","spam"
"admin get iphone free today","spam"
"clear now","general"
"browser hang ho gaya...","technical_issue"
"good evening sir","general"
"stop wasting students time","abuse"
"mam mam good evening all today","general"
"What is passing criteria","question"
"hello from Delhi yaar","general"
"SIR SIR SCREEN SHARE BAND HO GYA","technical_issue"
"Sir my roll number skipped once","attendance_issue"
"attendance code kya kya hai","attendance_issue"
"sir attendance mark kar do bro","attendance_issue"
"THIS IS DUMB","abuse"
"Bye sir thank you please","general"
"I joined","general"
"Please not able to access attendance form abhi","attendance_issue"
"screen ka text chota hai once","technical_issue"
"admin ma'am doubt after class kaise ask kare","question"
"Admin attendance link expired ho gaya sir","attendance_issue"
"mam investment double in 7 days in class","spam"
"please continue mam","general"
"Good to be be here today","general"
"pls send hi for earning app pls","spam"
"PLEASE WHERE TO SUBMIT ATTENDANCE ATTENDANCE","attendance_issue"
"ma'am mera attendance missing hai","attendance_issue"
"thank you for explaining","general"
"maam I got disconnected attendance? from my side mam","attendance_issue"
"Free recharge available dm me bro","spam"
"hello hello everyone in class","general"
"Hello sir worst webinar ever from my side","abuse"
"Free gift card claim now","spam"
"attendance sheet open nahi ho rahi rahi na","attendance_issue"
"total fraud session na","abuse"
"attendance abhi tak nahi lagi??","attendance_issue"
"pls bye sir thank you","general"
"earn while watching videos please","spam"
"This is so lame!!","abuse"
"please voice robotic aa rahi","technical_issue"
"stop wasting students time mam","abuse"
"bhai namaste sir sir","general"
"sir github link milega kya abhi","question"
"pls hi all","general"
"stop talking rubbish bro mam","abuse"
"sir attendance list kab update hogi","attendance_issue"
"hello sir what is passing criteria bro pls","question"
"mera attendance 2 bar cut gaya","attendance_issue"
"terrible audio terrible host urgent","abuse"
"please continue!!","general"
"please video and audios out of sync urgent","technical_issue"
"Pls sir entry late hui but session attend kiya","attendance_issue"
"wifi issue from my side pls","technical_issue"
"Presentation open nahi ho rahi","technical_issue"
"yes yes urgent urgent","general"
"PLEASE SIR SOUND NAHI AA RAHA","technical_issue"
"how to to access LMS yaar","question"
"thank you mam","general"
"Can beginners join this course in webinar","question"
"excuse me attendance miss ho gayi due to login issue!!","attendance_issue"
"I filled form but not showing","attendance_issue"
"SIR ATTENDANCE CLOSE MAT KARO NOW","attendance_issue"
"Ma'am please mark 23CS045 present","attendance_issue"
"excuse me speaker is useless pls","abuse"
"maam maam thanku sir please","general"
"telegram group join fast from my side","spam"
"free laptop scheme apply","spam"
"maam sir attendance close mat karo pls","attendance_issue"
"HOST AUDIO MUTED LAG RAHA","technical_issue"
"maam easy money students only","spam"
"limited limited seats income plan","spam"
"maam fine sir once","general"
"sir assignment individual hai ya group","question"
"maam present from beginning","attendance_issue"
"Ma'am recording kab upload hogi","question"
"What is difference between AI and ML mam","question"
"done ma'am ma'am","general"
"video stuck ho gaya","technical_issue"
"Hello sir thanks team","general"
"audios not working...","technical_issue"
"class join kiya tha but absent dikha","attendance_issue"
"Get exam answers dm urgent","spam"
"admin sleeping kya kya","abuse"
"hello sir free netflix account link","spam"
"join join paid notes group","spam"
"bhai subscribe my channel plzzz","spam"
"hello sir which dataset should we use","question"
"good afternoon please jaldi","general"
"sir present present from my my side","attendance_issue"
"HOW TO JOIN BREAKOUT ROOM NA","question"
"which language is better python or java","question"
"Mic off hai kya sir yaar","technical_issue"
"this class is garbage please","abuse"
"audio one side se aa raha please","technical_issue"
"session start ho gaya kya urgent","general"
"casino bonus register fast once","spam"
"ma'am attendance ka screenshot bhejna hai???","attendance_issue"
"Good session today","general"
"what is deadline for project now","question"
"I hate this session??? session???","abuse"
"mam attendance time over ho gaya kya","attendance_issue"
"speaker ka sound double aa raha please","technical_issue"
"audio delay hai in webinar jaldi","technical_issue"
"good evening all","general"
"Screen share black aa rha once","technical_issue"
"sir sir aapko kuch nahi aata","abuse"
"pls session start ho gaya kya!!","general"
"this class is garbage now???","abuse"
"pls yes yes","general"
"Best crypto signal channel now","spam"
"pathetic management??? management???","abuse"
"Sir refer and earn cash from my side","spam"
"Slide blur dikh rahi hai","technical_issue"
"link attendance ka bhejiye","attendance_issue"
"TERRIBLE AUDIO TERRIBLE HOST","abuse"
"thanks for the webinar","general"
"sir is attendance compulsory","question"
"sir webcam nahi chal rha","technical_issue"
"maam nice session bro","general"
"Good morning everyone again","general"
"sir sir sir you don't know anything in webinar??","abuse"
"browser hang ho gaya!!","technical_issue"
"admin stop this boring lecture","abuse"
"screen ka text chota hai please","technical_issue"
"scholarship form form urgent click","spam"
"pathetic management","abuse"
"Is attendance compulsory","question"
"bahut hi bekaar class","abuse"
"LIMITED SEATS INCOME INCOME PLAN","spam"
"excuse me me audios delay hai jaldi","technical_issue"
"voice cut cut aa rahi now","technical_issue"
"Voice robotic aa rahi in webinar sir","technical_issue"
"hello sir sir is attendance compulsory bro","question"
"maam great topic??","general"
"Mam thanku sir!!","general"
"terrible audio audio terrible host","abuse"
"Network lag kar raha","technical_issue"
"voice break ho rahi again","technical_issue"
"Scholarship form urgent click!!","spam"
"bhai network lag kar raha","technical_issue"
"this content is trash???","abuse"
"yes sir clear clear","general"
"SIR GITHUB LINK MILEGA KYA ONCE!!","question"
"sir ye code ka output kya hoga???","question"
"nobody cares about this topic yaar","abuse"
"present ma'am!!","general"
"sir your explanation makes no sense","abuse"
"your explanation makes no sense na","abuse"
"admin great session so far","general"
"waiting for session to start","general"
"sir your voice is cracking now yaar","technical_issue"
"meeting keeps disconnecting please","technical_issue"
"dm for paid assignment help","spam"
"hello sir slides slides stuck on first page in webinar","technical_issue"
"pls attendance time over ho gaya kya mam","attendance_issue"
"you are wasting our time","abuse"
"I joined on time but attendance not marked please","attendance_issue"
"echo aa raha hai yaar","technical_issue"
"Stop this boring lecture jaldi","abuse"
"how to install python!!","question"
"sir code repeat karo once","attendance_issue"
"total fraud fraud session","abuse"
"what if attendence is missed urgent","question"
"THANKS FOR THE WEBINAR NA","general"
"screen visible nahi hai yaar","technical_issue"
"VOLUME INCREASE PLEASE PLEASE","technical_issue"
"telegram group join fast","spam"
"ma'am attendance ka screenshot bhejna hai?","attendance_issue"
"not able to unmute...","technical_issue"
"free laptop scheme scheme apply","spam"
"Typing job genuine payment jaldi","spam"
"trading course free link jaldi","spam"
"Sir meri proxy nahi hai actually present hu urgent","attendance_issue"
"is there any internship after this","question"
"where to submit attendance","attendance_issue"
"useless content again!!","abuse"
"sir I was in waiting room","attendance_issue"
"attendance portal down hai na","attendance_issue"
"is there any internship after this sir","question"
"will quiz be graded in class","question"
"hello ma'am please","general"
"How to fix import error???","question"
"hello sir mera attendance 2 bar cut gaya","attendance_issue"
"attendance abhi tak nahi lagi","attendance_issue"
"PLS SIR ASSIGNMENT INDIVIDUAL HAI YA GROUP","question"
"Whiteboard visible nahi from my side","technical_issue"
"hello sir what is passing criteria mam","question"
"sir sir roll no add karna tha","attendance_issue"
"hello sir copy paste job available na","spam"
"join paid notes group in webinar","spam"
"this is dumb dumb","abuse"
"moderator useless hai","abuse"
"Looking forward once","general"
"ma'am slides share karenge?","question"
"can we use mobile for exam in class","question"
"Hi all from my side","general"
"Join my whatsapp group from my side pls","spam"
"mam mam this is so lame today","abuse"
"LINK ATTENDANCE KA BHEJIYE SIR","attendance_issue"
"camera freeze ho gaya","technical_issue"
"video stuck ho gaya again","technical_issue"
"HOST KO REMOVE KARO","abuse"
"done ma'am","general"
"Audio not working","technical_issue"
"Maam maam I got disconnected attendance?","attendance_issue"
"no issues","general"
"can you explain API simply bro","question"
"CAN YOU EXPLAIN API SIMPLY","question"
"sir doubt in last topic abhi","question"
"bhai send number for lottery","spam"
"screen share black aa rha","technical_issue"
"admin audio bahut low hai","technical_issue"
"bhai sir attendance not reflecting...","attendance_issue"
"free recharge available dm me abhi","spam"
"bhai mute this annoying person","abuse"
"Admin video stuck ho gaya sir","technical_issue"
"Excuse me ok noted","general"
"good to be here","general"
"will quiz be graded","question"
"meeting keeps disconnecting abhi abhi","technical_issue"
"can you reopen attendance sir","attendance_issue"
"Yes visible","general"
"video buffering buffering again","technical_issue"
"attendance list kab update hogi","attendance_issue"
"thank you sir today","general"
"Excuse me thank you mam please","general"
"excuse me sir assignment individual individual hai ya group again","question"
"PLS EARN 5000 DAILY CLICK CLICK LINK??","spam"
"Get 10k followers today","spam"
"hello sir breakout room join nahi ho raha mam","technical_issue"
"mam clear now sir","general"
"rank booster service cheap","spam"
"maam host is so annoying yaar","abuse"
"best crypto signal channel today","spam"
"good morning everyone yaar","general"
"Clear now now abhi","general"
"get 10k followers today bro sir","spam"
"sir sir quiz link kaha milega","question"
"screen ka text chota hai","technical_issue"
"voice robotic aa rahi","technical_issue"
"ok sir na","general"
"wifi issue from my side jaldi","technical_issue"
"pls sir your voice is cracking","technical_issue"
"hello sir video buffering buffering again","technical_issue"
"This lecture is nonsense nonsense from my side","abuse"
"please how to fix import error","question"
"please dm for paid assignment help","spam"
"watch my youtube channel jaldi","spam"
"yes sir clear clear na","general"
"bhai sir you don't know anything in class pls","abuse"
"good morning everyone everyone","general"
"attendance confirm please...","attendance_issue"
"THANK YOU SIR","general"
"Unable to see code editor mam","technical_issue"
"cheap followers instant instant delivery","spam"
"admin sir form submit nahi hua","attendance_issue"
"can you show example","question"
"click here for free certificate??","spam"
"volume increase increase please...","technical_issue"
"teacher is irritating in class","abuse"
"Pls ma'am deadline extend ho sakti hai? please","question"
"who hired this speaker","abuse"
"ma'am slides share karenge? pls","question"
"attendance ke liye email karna hai kya in webinar??","attendance_issue"
"can you explain again??","question"
"hello sir ma'am slides share karenge?","question"
"sir sir what is tokenization","question"
"This webinar is a joke again","abuse"
"Admin ma'am can you repeat the question in class pls","question"
"Slides not moving","technical_issue"
"screen screen visible nahi hai mam","technical_issue"
"Great topic","general"
"Admin please continue","general"
"sir attendance not reflecting today today jaldi","attendance_issue"
"Mam I hate this session","abuse"
"sir link for lab manual jaldi","question"
"admin is attendance compulsory","question"
"maam speaker is useless","abuse"
"great session so far","general"
"mic off hai kya sir mam","technical_issue"
"best crypto signal channel","spam"
"please meeting keeps disconnecting???","technical_issue"
"Sir I was in waiting room urgent","attendance_issue"
"attendance abhi tak nahi lagi yaar","attendance_issue"
"sir prerequisites kya hain na","question"
"please joined sir in class again","general"
"Bhai sir attendance mark kar do","attendance_issue"
"mic off hai kya sir","technical_issue"
"LAGGING TOO MUCH TODAY FROM MY SIDE PLS","technical_issue"
"free recharge available dm me","spam"
"Sir terrible audio terrible host from my side pls","abuse"
"where to submit attendance...","attendance_issue"
"maam present ma'am","general"
"Maam limited offer make money fast","spam"
"this webinar is stupid","abuse"
"screen is pixelated yaar","technical_issue"
"assignment solution paid available","spam"
"sir ma'am please mark 23CS045 present please","attendance_issue"
"Sir hello ma'am","general"
"hello sir I joined on time but attendance not marked","attendance_issue"
"mam useless content again please","abuse"
"attendance link expired ho gaya mam","attendance_issue"
"clear now sir","general"
"click here for free certificate","spam"
"maam ma'am mera attendance missing hai once","attendance_issue"
"sir full scren nahi ho raha","technical_issue"
"SIR SIR CAN YOU SLOW DOWN PLEASE PLS","question"
"thank you for explaining explaining","general"
"Sir can you slow down please","question"
"Bhai joined late due to net issue attendance milegi? jaldi","attendance_issue"
"ma'am can you repeat the question","question"
"yes visible in webinar","general"
"sir sir ye code ka output kya hoga in class jaldi","question"
"sir host ko remove karo in webinar","abuse"
"excuse me thank you for explaining!!","general"
"maam I got disconnected attendance?","attendance_issue"
"NONSENSE EXPLANATION PLEASE","abuse"
"Faltu session session hai now","abuse"
"name galat show ho raha attendance me","attendance_issue"
"Mute this annoying person","abuse"
"YOUR EXPLANATION MAKES NO SENSE","abuse"
"caption galat aa rahe urgent sir","technical_issue"
"kya bakwas chal raha hai now","abuse"
"browser hang ho gaya","technical_issue"
"crypto profit 100 percent jaldi","spam"
"sir recording milegi?","question"
"yes scren visible bro yaar","general"
"BHAI TEACHER IS IRRITATING???","abuse"
"video buffering buffering","technical_issue"
"hello from Delhi","general"
"Slides not moving from my side","technical_issue"
"kya bakwas chal raha hai jaldi","abuse"
"ma'am attendance ka screenshot bhejna hai? please","attendance_issue"
"can we ask questions after session","question"
"pls limited offer make money fast tdy","spam"
"bhai investment double in 7 days","spam"
"This webinar is a joke","abuse"
"Stop pretending you know in class","abuse"
"IS THERE ANY INTERNSHIP AFTER AFTER THIS","question"
"refer and earn cash in webinar","spam"
"Speaker ka sound double aa raha bro","technical_issue"
"sir quiz link kaha milega today abhi abhi","question"
"name galat show show ho raha attendance me","attendance_issue"
"no issues yaar","general"
"telegram group join fast pls","spam"
"Can you explain API simply sir","question"
"Mam click link before it expires bro na","spam"
"message me for sure profit","spam"
"good good evening sir","general"
"Work from home income guaranteed","spam"
"Speaker is useless","abuse"
"pls click here for free certificate","spam"
"earn earn while watching videos","spam"
"who hired this speaker na","abuse"
"attendence link not accepting response in in class mam","attendance_issue"
"Please mark my attendance please please","attendance_issue"
"limited seats income plan","spam"
"MAM WHAT IS MODEL ACCURACY...","question"
"followers likes comments sale na","spam"
"which language language is better python or java mam","question"
"Sir roll no add karna tha","attendance_issue"
"sir ppt nahi dikh rahi sir","technical_issue"
"hello sir sir attendance close mat karo","attendance_issue"
"get iphone iphone free today again","spam"
"I hate this session","abuse"
"sir quiz link kaha milega today sir","question"
"Can we submit late bro na","question"
"boring boring boring boring","abuse"
"moderator useless useless hai???","abuse"
"UNABLE TO SEE CODE EDITOR???","technical_issue"
"how to access LMS yaar","question"
"host audio muted lag raha again","technical_issue"
"Maam assignment solution paid available again","spam"
"ATTENDANCE CODE KYA HAI NA","attendance_issue"
"can you reopen attendance","attendance_issue"
"meeting keeps disconnecting","technical_issue"
"Maam thank you sir once","general"
"Excuse me ma'am please consider attendance???","attendance_issue"
"sir your voice is cracking once","technical_issue"
"sir screen share band ho gya sir","technical_issue"
"Free gift card claim now urgent na","spam"
"bhai volume increase please mam","technical_issue"
"slide blur dikh rahi hai jaldi","technical_issue"
"sir present hu hu","attendance_issue"
"maam free gift card claim now","spam"
"maam stop pretending you know once","abuse"
"this webinar is stupid in webinar","abuse"
"What is model accuracy please","question"
"sir present present pls","attendance_issue"
"buy trading signals now na","spam"
"WAITING FOR SESSION TO START START","general"
"presentation is terrible in class na","abuse"
"breakout room join nahi ho ho raha","technical_issue"
"sir practical file format kya hai pls","question"
"sir sound nahi aa raha again","technical_issue"
"My attendance pending pending","attendance_issue"
"ATTENDANCE QR SCAN NAHI HO RAHA NA","attendance_issue"
"Hello sir haan sir clear hai again","general"
"sir screen share band ho gya in class","technical_issue"
"Sir webcam nahi chal chal rha","technical_issue"
"camera camera freeze ho gaya","technical_issue"
"faltu session hai again","abuse"
"trading course free link in webinar","spam"
"attendance form kaha hai sir","attendance_issue"
"bhai attendance attendance link not accepting response once","attendance_issue"
"message me for sure profit today yaar","spam"
"host can't even manage audio once","abuse"
"Excuse me where can I download notes again","question"
"Sir screen share band ho gya","technical_issue"
"WEBINAR CERTIFICATE HACK DM??","spam"
"PLEASE DON'T TEACH LIKE THIS","abuse"
"Maam online earning proof available from my side!!","spam"
"admin free netflix account link","spam"
"Speaker ka sound double aa raha","technical_issue"
"link open but blank screen jaldi","technical_issue"
"mam this content is trash","abuse"
"lagging too much today sir","technical_issue"
"Idiot idiot level management yaar","abuse"
"admin sleeping kya","abuse"
"YOU PEOPLE ARE ARE CLUELESS MAM","abuse"
"IS THIS SESSION FOR ALL BRANCHES NA","question"
"I joined on time but attendance not marked","attendance_issue"
"assignment submit kaha karna hai sir","question"
"sir no issues","general"
"scholarship form urgent click","spam"
"sir buy verified accounts again","spam"
"Sir attendance not reflecting","attendance_issue"
"Promo code use now","spam"
"buy verified accounts","spam"
"sir attendance miss ho gayi due to login issue","attendance_issue"
"sir ppt nahi dikh rahi in webinar","technical_issue"
"hello sir sir ppt nahi dikh rahi please na","technical_issue"
"Which language is better python or java please sir","question"
"MERA ATTENDANCE 2 BAR CUT GAYA NA","attendance_issue"
"SIR THANKS TEAM","general"
"unable to see code editor editor","technical_issue"
"audio delay hai","technical_issue"
"host ko remove karo yaar","abuse"
"How to join breakout room room","question"
"sir understood sir na","general"
"bhai presentation open nahi ho rahi","technical_issue"
"namaste sir from my side","general"
"can you show example example urgent","question"
"sir ye code ka output output kya hoga","question"
"yes audible from my side yaar","general"
"my attendance pending yaar yaar","attendance_issue"
"NETWORK LAG KAR RAHA!!","technical_issue"
"faltu session hai","abuse"
"maam sir install karte time error aa raha kya karu in webinar jaldi","question"
"good afternoon","general"
"asignment solution paid available in class again","spam"
"click link before it expires???","spam"
"voice robotic aa rahi once","technical_issue"
"caption galat aa rahe mam","technical_issue"
"maam will certificate be provided sir","question"
"free laptop scheme apply jaldi","spam"
"rank booster service cheap bro","spam"
"admin nice explanation explanation abhi","general"
"stop wasting students time please","abuse"
"Sir joined sir abhi","general"
"mam will will quiz be graded","question"
"sir prerequisites kya hain","question"
"presentation is terrible...","abuse"
"Please scholarship form urgent click","spam"
"sir typing job genuine payment???","spam"
"will we get recording on mail","question"
"ATTENDANCE SHEET OPEN NAHI HO RAHI","attendance_issue"
"Link open but blank screen","technical_issue"
"voice break ho rahi yaar","technical_issue"
"mam this webinar is is stupid","abuse"
"bad session totally useless in class","abuse"
"loan approved without documents bro","spam"
"connection reconnecting again","technical_issue"
"sir screen rotate ho gayi again","technical_issue"
"slides not moving today??","technical_issue"
"ADMIN SHUT UP AND MOVE ON","abuse"
"very helpful sesion","general"
"when is next webinar please","question"
"SIR WEBCAM NAHI CHAL RHA NA","technical_issue"
"good session","general"
"SIR YE CODE KA OUTPUT KYA HOGA","question"
"hello sir telegram group join fast fast","spam"
"sir ppt nahi dikh rahi","technical_issue"
"How to access LMS","question"
"thanks for sharing bro abhi","general"
"this class is garbage...","abuse"
"CAN'T HEAR THE SPEAKER","technical_issue"
"caption galat aa rahe today","technical_issue"
"Yes ma'am ma'am audible pls","general"
"sir I was in waiting room please","attendance_issue"
"voice break ho rahi sir","technical_issue"
"I I joined","general"
"refer and earn cash","spam"
"boring boring boring again","abuse"
"best betting tips join now","spam"
"not able to unmute abhi","technical_issue"
"online online earning proof available???","spam"
"send number for lottery","spam"
"sir entry entry late hui but session attend kiya","attendance_issue"
"bye sir thank you","general"
"Sir ppt ppt share in whatsapp? from my side jaldi","question"
"click bitly link for prize","spam"
"EXCUSE ME CLICK HERE FOR FREE CERTIFICATE","spam"
"what is model accuracy??","question"
"sir earn 5000 daily click link","spam"
"attendance attendance list kab update hogi","attendance_issue"
