message,category
"hello sir sir name galat show ho raha attendance me bro","attendance_issue"
"my my attendance pending","attendance_issue"
"excuse me guaranteed marks service","spam"
"buy trading signals now","spam"
"Audio bahut low hai","technical_issue"
"hello everyone na","general"
"ma'am mera attendance missing hai yaar","attendance_issue"
"Pls loan approved without documents","spam"
"Followers likes comments sale bro","spam"
"present ma'am!! ma'am!!","general"
"audio delay hai in webinar","technical_issue"
"sir code repeat karo","attendance_issue"
"mam typing job genuine payment!!","spam"
"done ma'am again again","general"
"attendance list kab update hogi once","attendance_issue"
"namaste sir once please please","general"
"hello everyone","general"
"mam sir recording milegi?...","question"
"maam join my whatsapp group","spam"
"copy paste job available from my side","spam"
"casino bonus register fast","spam"
"excited for today's webinar bro","general"
"please echo aa raha hai","technical_issue"
"sir roll no add karna tha urgent abhi","attendance_issue"
"nice sesion jaldi","general"
"Sir tab share nahi hua","technical_issue"
"pls slides not moving in webinar webinar abhi","technical_issue"
"sir ppt share in whatsapp?","question"
"joined sir","general"
"nobody cares about this topic??","abuse"
"admin which language is better python or java","question"
"this is painful to watch","abuse"
"yes screen visible","general"
"mam buy verified accounts once jaldi","spam"
"poll option nahi aa raha in webinar?? webinar??","technical_issue"
"how to fix import error","question"
"your explanation makes no sense sense","abuse"
"hello sir message me for sure profit","spam"
"admin host audio muted lag raha???","technical_issue"
"what is difference between AI and ML","question"
"maam this lecture is nonsense in class","abuse"
"pls I am from CSE now","general"
"please don't teach like this yaar","abuse"
"Excited for today's webinar sir","general"
"this lecture is nonsense please","abuse"
"this is is dumb...","abuse"
"Nice explanation","general"
"bhai great topic please","general"
"sir practical file format format kya hai bro please","question"
"Sir sir install karte time error aa raha kya karu","question"
"work from home income guaranteed na","spam"
"sir you are wasting our time mam","abuse"
"maam sir ye formula kaise aaya aaya","question"
"Hello sir send hi for earning app please pls","spam"
"clear hai","general"
"stop this boring lecture","abuse"
"admin haan sir clear hai","general"
"this content is trash","abuse"
"hello sir online job no skills needed yaar","spam"
"admin ye class bakwas hai","abuse"
"sir ppt share in whatsapp? pls","question"
"attendance link expired ho gaya???","attendance_issue"
"free netflix account link","spam"
"hello sir what is model accuracy","question"
"Sir code repeat karo now","attendance_issue"
"Can we submit late sir","question"
"maam such a bad teacher","abuse"
"Limited offer make money fast","spam"
"browser browser hang ho gaya","technical_issue"
"maam maam join paid notes group","spam"
"mam speaker please stop nonsense please","abuse"
"how much much marks for assignment","question"
"will we get recording on mail in webinar pls","question"
"thanks thanks for sharing","general"
"please you people are clueless","abuse"
"pls pathetic management","abuse"
"ma'am can you repeat the question???","question"
"breakout room join nahi ho raha mam","technical_issue"
"slide slide blur dikh rahi hai","technical_issue"
"speaker please stop nonsense please","abuse"
"attendance ke liye email karna hai kya","attendance_issue"
"sir install karte time error aa raha kya karu now pls","question"
"This is painful to watch today","abuse"
"can you zoom the code in webinar","question"
"echo aa raha hai pls","technical_issue"
"bhai good session","general"
"Thanku sir","general"
"BHAI SCREEN IS PIXELATED URGENT","technical_issue"
"attendance form kaha hai please","attendance_issue"
"crypto profit 100 percent urgent abhi","spam"
"Video and audio out of sync","technical_issue"
"JOIN CRYPTO GROUP NOW JALDI","spam"
"mam wifi issue from my side!!","technical_issue"
"not able to access attendance form???","attendance_issue"
"bhai mic off hai kya sir urgent","technical_issue"
"yes audible??","general"
"attendance qr scan nahi ho raha in webinar pls","attendance_issue"
"please verify my attendance mam","attendance_issue"
"attendance sheet sheet open nahi ho rahi once","attendance_issue"
"Excuse me ma'am please mark 23CS045 present present","attendance_issue"
"pls sir doubt in last topic","question"
"MA'AM DEADLINE EXTEND HO SAKTI HAI? HAI?","question"
"how to install python bro","question"
"clear hai na","general"
"please verify my attendance attendance","attendance_issue"
"GOOD SESSION SESSION","general"
"please camera freeze ho gaya","technical_issue"
"AUDIO NOT WORKING NA","technical_issue"
"screen screen share black aa rha","technical_issue"
"attendance link not accepting response","attendance_issue"
"send hi for earning app","spam"
"LOOKING FORWARD...","general"
"host can't even manage audio","abuse"
"can we submit late","question"
"sir work from home income guaranteed now","spam"
"bye sir thank you in webinar jaldi","general"
"pls click bitly link for prize","spam"
"bad sesion totally useless","abuse"
"excuse me chat load nahi ho raha","technical_issue"
"can you reopen attendance mam","attendance_issue"
"bhai bhai sir full screen nahi ho raha","technical_issue"
"presentation is terrible","abuse"
"Nonsense explanation","abuse"
"can you zoom the code","question"
"I am from CSE","general"
"slides stuck on first page in webinar","technical_issue"
"GOOD MORNING EVERYONE","general"
"app baar baar crash ho rha","technical_issue"
"is this session for all branches in class","question"
"what if attendance is missed urgent","question"
"attendance form says already submitted","attendance_issue"
"bhai why are you so slow","abuse"
"hello sir admin sleeping kya","abuse"
"Sir trading trading course free link today","spam"
"HELLO SIR GET EXAM ANSWERS DM YAAR YAAR","spam"
"this is painful to watch???","abuse"
"please refer refer and earn cash","spam"
"OK SIR","general"
"WORST WEBINAR EVER","abuse"
"will we get recording on mail!!","question"
"stop talking rubbish","abuse"
"where can I download notes yaar","question"
"hello sir voice cut cut aa rahi bro","technical_issue"
"click link before it expires","spam"
"guaranteed marks service","spam"
"Camera freeze ho gaya again","technical_issue"
"hello sir this is dumb","abuse"
"maam chat load nahi ho raha","technical_issue"
"Bhai sir 10 min se hu mark kar do","attendance_issue"
"sir aapko kuch nahi aata","abuse"
"Crypto profit 100 percent once","spam"
"attendence ke liye email karna hai kya na","attendance_issue"
"Great session so far today please please","general"
"dm for for certificate editing","spam"
"how much marks for assignment","question"
"excuse me sir can you slow down please??","question"
"excuse me attendance link not accepting response","attendance_issue"
"class ka standard zero hai...","abuse"
"free netflix account link???","spam"
"stop stop talking rubbish","abuse"
"attendance form says already submitted??","attendance_issue"
"cheap followers instant delivery","spam"
"join crypto group now","spam"
"excited for today's webinar","general"
"unable to see code editor please","technical_issue"
"maam good evening all","general"
"ADMIN CAN YOU SHOW EXAMPLE TODAY","question"
"ok sir today","general"
"Attendance form kaha hai...","attendance_issue"
"why are you so slow abhi","abuse"
"Attendance link expired ho gaya","attendance_issue"
"Ma'am doubt after class kaise ask kare...","question"
"HELLO SIR I AM FROM CSE","general"
"ADMIN SIR WHAT IS TOKENIZATION","question"
"Mam sir tab share nahi hua","technical_issue"
"sir sir sound nahi aa raha??","technical_issue"
"Audio bahut low hai abhi","technical_issue"
"excuse me teacher is irritating","abuse"
"yes visible pls pls","general"
"fine sir","general"
"please done ma'am ma'am","general"
"class ka standard zero hai","abuse"
"excuse me sir sir present hu","attendance_issue"
"will certificate be provided pls","question"
"can't hear the speaker sir","technical_issue"
"please shut up and move on","abuse"
"how much marks for asignment","question"
"Can we ask questions questions after session","question"
"Speaker speaker please stop nonsense???","abuse"
"Promo code use now!!","spam"
"followers likes comments sale","spam"
"mam sir assignment individual hai ya group","question"
"GET 10K FOLLOWERS TDY","spam"
"what is deadline for project","question"
"understood sir sir","general"
"pls you are wasting our time abhi","abuse"
"admin loan approved without documents","spam"
"ma'am example with real data please once","question"
"guaranteed marks service yaar","spam"
"admin attendance time over ho gaya kya??","attendance_issue"
"Such a bad teacher","abuse"
"Maam all good from my side","general"
"when is next webinar","question"
"ma'am doubt after class kaise ask kare please","question"
"attendance confirm please please","attendance_issue"
"good afternoon yaar","general"
"please guaranteed marks service","spam"
"ok sir again again","general"
"Admin when is next webinar","question"
"premium course leaked link now please","spam"
"speaker ka sound double aa raha???","technical_issue"
"thanks for the webinar??","general"
"hello sir attendance ka OTP nahi mila","attendance_issue"
"free recharge available dm me please","spam"
"can you show example again","question"
"Please please verify my attendance","attendance_issue"
"link attendance ka bhejiye bro","attendance_issue"
"ye class bakwas hai","abuse"
"Dm for certificate editing","spam"
"maam attendance ke liye email karna hai kya","attendance_issue"
"please class join kiya tha but absent dikha...","attendance_issue"
"EXCUSE ME WORST WEBINAR EVER ONCE","abuse"
"sir meri proxy nahi hai actually present hu","attendance_issue"
"pls sir form submit nahi hua please","attendance_issue"
"please who hired this this speaker today","abuse"
"joined sir in class","general"
"Great session so so far","general"
"PLS MA'AM SLIDES SHARE KARENGE? SIR","question"
"SIR ONLINE JOB NO SKILLS NEEDED NEEDED","spam"
"hello sir chat load nahi ho raha bro","technical_issue"
"echo aa raha hai","technical_issue"
"this content is trash na","abuse"
"sir 10 min se hu mark kar do do once pls","attendance_issue"
"stop this boring lecture urgent","abuse"
"How to install python","question"
"which dataset should we use","question"
"hello sir this is so so lame???","abuse"
"Please all good from my side","general"
"pls screen share black aa rha in class???","technical_issue"
"Sir ye formula kaise aaya","question"
"Stop wasting students time now??","abuse"
"bhai what is difference between AI and ML","question"
"Recording button nahi dikh raha abhi","technical_issue"
"bhai such a bad teacher","abuse"
"attendance time time over ho gaya kya","attendance_issue"
"sir you don't know anything","abuse"
"bhai presentation open open nahi ho rahi","technical_issue"
"admin thanks for the webinar","general"
"sir attendance mark kar do jaldi","attendance_issue"
"attendance qr scan nahi ho raha once","attendance_issue"
"what a waste of time","abuse"
"investment double in 7 days","spam"
"can you zoom the code na","question"
"this webinar is a joke sir","abuse"
"promo code use now sir","spam"
"Good to be here please","general"
"watch my youtube channel","spam"
"limited offer make money fast bro","spam"
"Hello sir ma'am please mark 23CS045 present","attendance_issue"
"What a waste of time once sir","abuse"
"Best betting tips join now sir","spam"
"bhai bhai idiot level management sir","abuse"
"bhai my chat messages not sending??","technical_issue"
"speaker speaker is completely confused","abuse"
"connection reconnecting again??","technical_issue"
"yes audible","general"
"attendence ka OTP nahi mila again","attendance_issue"
"AUDIO ONE SIDE SE AA RAHA ABHI","technical_issue"
"Admin attendance form says already submitted bro","attendance_issue"
"pls get 10k followers today","spam"
"Click bitly link link for prize","spam"
"admin dm for paid assignment help","spam"
"sir full full screen nahi ho raha","technical_issue"
"where to submit attendance urgent","attendance_issue"
"WILL QUIZ BE BE GRADED IN WEBINAR","question"
"Maam session start ho gaya kya again","general"
"See you in next class in class","general"
"copy paste job available","spam"
"how to join breakout breakout room","question"
"Sir roll no add karna tha abhi","attendance_issue"
"Mera naam list me nahi hai","attendance_issue"
"sir what is tokenization please jaldi","question"
"Sir you don't know anything now","abuse"
"pls haan sir sir clear hai pls","general"
"hello sir hello everyone in class mam","general"
"excuse me what if attendance is missed","question"
"sir doubt in last topic once please","question"
"bhai I joined on time but attendance not marked mam","attendance_issue"
"earn while watching videos videos","spam"
"Hi all","general"
"please continue","general"
"Sir can you slow down please abhi","question"
"assignment submit kaha karna hai abhi","question"
"ma'am mera attendance missing hai today","attendance_issue"
"mam I am present from section section B","attendance_issue"
"audio one side se aa raha","technical_issue"
"present sir but mic issue tha urgent","attendance_issue"
"WHICH DATASET SHOULD WE USE BRO","question"
"Maam webinar certificate hack dm!!","spam"
"sir form submit nahi hua abhi","attendance_issue"
"sir meri proxy nahi hai actually actually present hu sir","attendance_issue"
"admin slide blur dikh rahi hai sir","technical_issue"
"message me for sure profit please","spam"
"Can we use mobile for exam","question"
"mute this annoying person once","abuse"
"ok noted in class class","general"
"stop talking rubbish...","abuse"
"pathetic management management","abuse"
"bhai good afternoon","general"
"excuse me can't hear the speaker again","technical_issue"
"sir entry late hui but session attend kiya mam","attendance_issue"
"audios not working again","technical_issue"
"what what is deadline for project","question"
"attendance miss ho gayi due to login issue today","attendance_issue"
"sir sir ye formula kaise aaya","question"
"can beginners join this course","question"
"sir I am present from section B","attendance_issue"
"Sir form submit nahi hua","attendance_issue"
"connection reconnecting again today","technical_issue"
"can you explain again yaar","question"
"please mark my attendance abhi","attendance_issue"
"can you reopen attendance urgent na","attendance_issue"
"you people are clueless","abuse"
"MERA NAAM LIST ME NAHI HAI IN WEBINAR","attendance_issue"
"recording button nahi dikh raha??","technical_issue"
"attendance portal down hai","attendance_issue"
"all good from my side","general"
"admin sir entry late hui but session attend kiya","attendance_issue"
"video and audio out of sync again","technical_issue"
"online job no skills needed","spam"
"shut shut up and move on","abuse"
"pls moderator useless hai","abuse"
"sir subscribe my channel plzzz na","spam"
"sir screen rotate ho gayi abhi","technical_issue"
"sir this is painful to watch","abuse"
"thanks for sharing","general"
"maam send number for lottery","spam"
"speaker please stop nonsense pls","abuse"
"good evening sir abhi","general"
"rank booster service cheap today","spam"
"my chat messages not sending pls","technical_issue"
"sir nobody cares about this topic","abuse"
"Get iphone free tdy","spam"
"present ma'am","general"
"speaker is useless useless","abuse"
"fine sir now","general"
"voice cut cut aa rahi","technical_issue"
"Mam cheap followers instant delivery","spam"
"easy money students only","spam"
"shut up and move on","abuse"
"excuse me buy trading signals now mam","spam"
"ma'am recoding kab kab upload hogi","question"
"poll option nahi aa raha","technical_issue"
"haan sir clear hai jaldi","general"
"Poll option nahi aa raha!!","technical_issue"
"BHAI ASSIGNMENT SUBMIT KAHA KARNA HAI JALDI","question"
"SIR WHAT IS TOKENIZATION","question"
"whiteboard visible nahi mam","technical_issue"
"HELLO MA'AM","general"
"join paid notes group","spam"
"SESSION START HO GAYA KYA","general"
"whiteboard visible nahi once","technical_issue"
"class ka standard zero hai na","abuse"
"great topic in in class","general"
"I AM FROM CSE IN CLASS","general"
"sir doubt in last topic","question"
"host host can't even manage audio","abuse"
"get exam answers dm please","spam"
"is this session for all branches","question"
"sir tab share nahi nahi hua mam","technical_issue"
"maam attendance ka OTP nahi mila","attendance_issue"
"I am present from section B","attendance_issue"
"please I joined urgent","general"
"excited for today's webinar??","general"
"NAME GALAT SHOW HO RAHA ATTENDANCE ME!!","attendance_issue"
"slides stuck on first page mam","technical_issue"
"GET IPHONE FREE TODAY JALDI","spam"
"hello sir when is next webinar","question"
"teacher is irritating","abuse"
"excuse me casino bonus register fast once","spam"
"sir 10 min se hu mark kar do","attendance_issue"
"excuse me nice session abhi","general"
"Sir aapko kuch nahi aata yaar","abuse"
"what a waste of time again","abuse"
"yes sir clear...","general"
"bad session totally useless urgent urgent","abuse"
"sir present hu","attendance_issue"
"please thanku sir","general"
"can you explain again","question"
"assignment submit kaha karna hai","question"
"Network lag kar raha pls","technical_issue"
"ma'am ma'am please consider attendance please mam","attendance_issue"
"PLEASE VERIFY VERIFY MY ATTENDANCE??","attendance_issue"
"Ma'am example with real data please","question"
"video buffering buffering??","technical_issue"
"sir sir my roll number skipped","attendance_issue"
"how much marks for for assignment once","question"
"Sir attendance not reflecting yaar","attendance_issue"
"EASY MONEY STUDENTS ONLY NOW","spam"
"bad session totally useless","abuse"
"Please good evening all","general"
"sir dm for paid assignment help","spam"
"plz mark my attendance yaar","attendance_issue"
"sir recording button nahi dikh raha pls","technical_issue"
"volume increase please","technical_issue"
"sir your voice is cracking","technical_issue"
"ONLINE ONLINE EARNING PROOF AVAILABLE ONCE","spam"
"pls sir full screen screen nahi ho raha","technical_issue"
"casino bonus register fast???","spam"
"sir attendance mark kar do yaar","attendance_issue"
"total fraud session","abuse"
"admin where can I download notes","question"
"pls sir certificate name kaise change kare...","question"
"Mam sir present hu","attendance_issue"
"host audio muted lag raha please please","technical_issue"
"Premium course leaked link??","spam"
"Understood sir","general"
"attendance portal down hai in webinar","attendance_issue"
"mam subscribe my channel plzzz","spam"
"link open but blank screen urgent","technical_issue"
"Premium course leaked leaked link","spam"
"please wifi issue from my side","technical_issue"
"Ma'am recording kab upload hogi??","question"
"sir present present","attendance_issue"
"excuse me can you zoom the code in webinar","question"
"loan approved without documents","spam"
"sir prerequisites kya hain urgent jaldi","question"
"this lecture is nonsense","abuse"
"attendance code kya hai pls","attendance_issue"
"screen ka text chota hai bro","technical_issue"
"PLEASE I FILLED FORM BUT NOT SHOWING","attendance_issue"
"very helpful session now abhi","general"
"join crypto group now???","spam"
"video stuck ho gaya today","technical_issue"
"Attendance form kaha hai","attendance_issue"
"Best crypto signal channel jaldi","spam"
"attendance confirm please","attendance_issue"
"Sir my roll number skipped","attendance_issue"
"SIR YES SIR CLEAR","general"
"speaker is completely confused","abuse"
"nonsense explanation na","abuse"
"admin app baar baar crash ho rha","technical_issue"
"boring boring boring","abuse"
"SPEAKER IS COMPLETELY CONFUSED ABHI","abuse"
"join crypto group now from my side pls","spam"
"sir attendance form says already submitted abhi","attendance_issue"
"IDIOT LEVEL MANAGEMENT JALDI","abuse"
"maam earn 5000 daily click link","spam"
"sir practical file format kya hai in class sir sir","question"
"audio one side se aa raha bro","technical_issue"
"yes ma'am audible again","general"
"This class is garbage","abuse"
"which dataset should we use yaar","question"
"kya bakwas chal raha hai","abuse"
"excuse me sir aapko kuch nahi nahi aata pls","abuse"
"yes ma'am audible","general"
"Namaste sir","general"
"sir certificate name kaise change kare","question"
"host ko remove karo urgent","abuse"
"bhai yes audible","general"
"admin attendance code kya hai","attendance_issue"
"fine sir mam","general"
"please see you in next class class","general"
"What a waste of time bro","abuse"
"Ma'am please consider attendance","attendance_issue"
"watch my youtube channel in class","spam"
"can we use mobile for exam from my side yaar","question"
"bhai sir link for lab manual","question"
"sir code repeat karo jaldi","attendance_issue"
"host is so annoying pls","abuse"
"nice session","general"
"attendance confirm confirm please","attendance_issue"
"limited seats income plan from my side","spam"
"hello from Delhi Delhi","general"
"screen visible nahi hai","technical_issue"
"free gift card claim now once mam","spam"
"hello ma'am!!","general"
"sir screen rotate ho gayi bro","technical_issue"
"sir link for for lab manual","question"
"mam bahut hi bekaar class today again","abuse"
"what if attendance is missed","question"
"breakout room join nahi ho raha... raha...","technical_issue"
"maam moderator useless hai in webinar","abuse"
"bhai how to install python urgent na","question"
"thanks for for sharing mam","general"
"Presentation is terrible bro???","abuse"
"Joined late due to net issue attendance milegi?","attendance_issue"
"can we we ask questions after session bro??","question"
"where can I download notes","question"
"Online earning proof available","spam"
"admin this is so lame","abuse"
"premium course leaked link","spam"
"bhai host can't even manage audio in webinar","abuse"
"excuse me yes yes","general"
"sir github link milega kya","question"
"stop pretending you know na","abuse"
"you people are clueless urgent please","abuse"
"Maam plz don't teach like this bro jaldi","abuse"
"whiteboard visible nahi","technical_issue"
"earn 5000 daily click link","spam"
"waiting for session to start na","general"
"very helpful session session","general"
"excuse me class ka standard zero hai","abuse"
"will certificate be provided na","question"
"hello sir clear hai please","general"
"Thank you mam jaldi","general"
"nonsense explanation now","abuse"
"hello sir mera naam list me nahi hai please","attendance_issue"
"total fraud sesion please","abuse"
"MAAM BUY VERIFIED ACCOUNTS PLS","spam"
"sir link for lab manual","question"
"sir practical file format kya hai","question"
"sir 10 min se hu mark kar do jaldi","attendance_issue"
"Pls not able to access attendance form please","attendance_issue"
"Attendence portal down hai","attendance_issue"
"MAM MA'AM RECORDING KAB UPLOAD HOGI MAM","question"
"admin not able to access attendance form","attendance_issue"
"pls is there any internship after this","question"
"admin what is deadline for project in webinar na","question"
"what is passing criteria again","question"
"sir my roll number skipped from my side...","attendance_issue"
"boring boring boring na","abuse"
"how to fix import error in class sir","question"
"can beginners join this course once sir","question"
"thank you for explaining today","general"
"excuse me click bitly link for prize","spam"
"ye class bakwas hai in class","abuse"
"why are you so slow","abuse"
"free laptop scheme apply na","spam"
"Mam attendance sheet open nahi ho rahi","attendance_issue"
"I hate this session please","abuse"
"copy paste job available mam","spam"
"sir no no issues","general"
"useless content again","abuse"
"please sir certificate name kaise change kare in webinar abhi","question"
"trading course free link","spam"
"yes ma'am ma'am audible","general"
"waiting for session to start yaar","general"
"ye class bakwas hai!!","abuse"
"please mark my attendance jaldi","attendance_issue"
"sir ye formula kaise aaya jaldi","question"
"Rank booster booster service cheap abhi","spam"
"ma'am doubt after class kaise ask kare","question"
"please can we use mobile for exam","question"
"mute this annoying person from my side","abuse"
"I am present from section B sir","attendance_issue"
"bhai sir present present present","attendance_issue"
"bahut bahut hi bekaar class","abuse"
"attendance abhi tak nahi lagi lagi","attendance_issue"
"excuse me how to access LMS","question"
"attendance qr scan nahi ho raha","attendance_issue"
"class join kiya tha but absent dikha mam","attendance_issue"
"sir attendance close mat karo","attendance_issue"
"admin ma'am can you repeat the question","question"
"pls thanks team please","general"
"lagging too much today from my side","technical_issue"
"all good from my side urgent","general"
"crypto profit 100 percent","spam"
"plz can you explain API simply please na","question"
"Easy money students only please","spam"
"please yes screen visible pls","general"
"Mam send number for lottery","spam"
"Mam worst webinar ever","abuse"
"slides stuck on first page","technical_issue"
"assignment solution paid available abhi","spam"
"Webinar webinar certificate hack dm","spam"
"Please don't teach like this na","abuse"
"clear hai pls","general"
"presentation open nahi ho rahi in class again","technical_issue"
"can we ask questions after session session once","question"
"bahut hi bekaar class bro!!","abuse"
"Maam work from home income guaranteed","spam"
"sir sir sound nahi aa raha","technical_issue"
"sir recording milegi? abhi","question"
"caption galat aa rahe","technical_issue"
"video and audio out of sync today","technical_issue"
"maam present from from beginning!!","attendance_issue"
"mera attendance 2 bar bar cut gaya","attendance_issue"
"sir install karte time error aa raha kya karu","question"
"attendance miss ho gayi due to login issue","attendance_issue"
"bhai my attendance pending","attendance_issue"
"maam not able to unmute unmute","technical_issue"
"hello sir how to join breakout room","question"
"get exam answers dm","spam"
"MAAM PRESENT FROM BEGINNING MAM","attendance_issue"
"Hello sir sir certificate name name kaise change kare jaldi","question"
"excuse me sir meri proxy nahi hai actually present hu","attendance_issue"
"see you in next class na","general"
"sir github link milega milega kya bro??","question"
"sir I was in waiting room bro","attendance_issue"
"Excuse me my chat messages not sending!!","technical_issue"
"Looking forward","general"
"Excuse me nobody cares about this topic","abuse"
"bhai host is so annoying","abuse"
"screen screen visible nahi hai","technical_issue"
"I joined again","general"
"voice break ho rahi","technical_issue"
"thank you mam today","general"
"app baar baar crash ho rha in webinar","technical_issue"
"See you in next class","general"
"Join my whatsapp group please","spam"
"can beginners join this course please??","question"
